Restaurant,Address,Latitude,Longitude
"Culver’s of Mt. Dora, FL","US Hwy 441, Florida, USA",28.821863639415334,-81.78284038845933
"Culver’s of Naples, FL","Airport Pulling Rd N, Florida, USA",26.14890450976295,-81.76663747531089
"Culver’s of Naples, FL","Tamiami Trl E, Florida, USA",26.13778039424659,-81.78234688053293
"Culver’s of Naples, FL","Immokalee Rd, Florida, USA",26.41485549855759,-81.41740737755026
"Culver’s of Navarre, FL","Navarre Pkwy, Florida, USA",30.402897058130208,-86.85538478116983
"Culver’s of New Smyrna Beach, FL","State Road 44, Florida, USA",29.01293470045378,-80.98508772047792
"Culver’s of North Port, FL","Tuscola Blvd, Florida, USA",27.039817853953053,-82.22708584131604
"Culver’s of Ocala, FL","SW College Road, Florida, USA",29.167936737799828,-82.1666266275776
"Culver’s of Trinity, FL","State Rd 54, Florida, USA",28.193396064345162,-82.4748316473703
"Culver’s of Orlando, FL","Millenia Blvd, Florida, USA",28.479028813337717,-81.4423323385825
"Culver’s of Lake Nona, FL","Narcoossee Rd, Florida, USA",28.4431951,-81.26099865
"Culver’s of Orlando, FL","E Colonial Dr, Florida, USA",28.553149244023917,-81.35643790037953
"Culver’s of Ormond Beach, FL","W Granada Blvd, Florida, USA",29.28116447062654,-81.0675644202266
"Culver’s of Oviedo, FL","W Mitchell Hammock Rd, Florida, USA",28.655633550901847,-81.21299325738207
"Culver’s of Palm Coast, FL","E Hwy 100, Florida, USA",29.474978,-81.2202613
"Culver’s of Palmetto, FL","US Hwy 301, Florida, USA",27.521509842953883,-82.53959009636836
"Culver’s of Panama City, FL","S Tyndall Pkwy, Florida, USA",30.12740651527639,-85.59123886484196
"Culver’s of Panama City Beach, FL","Panama City Beach Pkwy, Florida, USA",30.19968878266737,-85.81795256115598
"Culver’s of Pensacola, FL","Bayou Blvd, Florida, USA",30.438844079664637,-87.18218432711545
"Culver’s of Pensacola, FL","Mobile Hwy, Florida, USA",30.474933253621515,-87.30794097242085
"Culver’s of Pinellas Park, FL","Park Blvd N, Florida, USA",27.839273002864715,-82.7557793425827
"Culver’s of Plant City, FL","N Park Rd, Florida, USA",26.034901468981186,-80.17543397771925
"Culver’s of Port Charlotte, FL","Kings Hwy, Florida, USA",27.9827211129493,-82.77949293845145
"Culver’s of Port Charlotte, FL","El Jobean Rd, Florida, USA",26.999864542208574,-82.18401553196747
"Culver’s of Port Orange, FL","Dunlawton Ave, Florida, USA",29.13905583938078,-80.99669610884928
"Culver’s of Port Richey, FL","US Hwy 19, Florida, USA",28.14356975,-82.7404108
"Culver’s of Port St. Lucie, FL","SW Tradition Pkwy, Florida, USA",27.263916,-80.4342952
"Culver’s of Punta Gorda, FL","Jones Loop Rd, Florida, USA",26.884392696797093,-81.99887316435526
"Culver’s of Riverview, FL","Big Bend Rd, Florida, USA",27.80130384177038,-82.29157515389815
"Culver’s of Riverview, FL","Boyette Rd, Florida, USA",27.853741515166064,-82.30736668855371
"Culver’s of Sanford, FL","Orlando Dr, Florida, USA",28.774083639512167,-81.27799334785284
"Culver’s of Sarasota, FL","University Pkwy, Florida, USA",27.381987838990216,-82.55417519234426
"Culver’s of Sarasota, FL","S Tamiami Trl, Florida, USA",27.323208103418942,-82.52975168611117
"Culver’s of Sarasota, FL","Cattlemen Rd, Florida, USA",27.294100212621775,-82.45170571419064
"Culver’s of Sebring, FL","US Hwy 27, Florida, USA",28.748190151116464,-81.87706823225368
"Culver’s of Seminole, FL","Park Blvd, Florida, USA",25.772338650000002,-80.33974185
"Culver’s of Spring Hill, FL","County Line Rd, Florida, USA",27.381651154591147,-82.55537581550519
"Culver’s of St. Augustine, FL","US Hwy 1, Florida, USA",27.303679799999998,-80.30726745
"Culver’s of St. Augustine, FL","Stratton Blvd, Florida, USA",29.92484502373144,-81.39021265600829
"Culver’s of St. Cloud, FL","E Irlo Bronson Hwy, Florida, USA",28.246006214298035,-81.24523230010531
"Culver’s of St. Johns, FL","Fountains Way, Florida, USA",26.475006976849784,-80.09060824681758
"Culver’s of St. Petersburg, FL","4th St N, Florida, USA",27.803466238286646,-82.74707196764264
"Culver’s of St. Petersburg, FL","34th St N, Florida, USA",27.77205000572178,-82.67951322892367
"Culver’s of Stuart, FL","S Kanner Hwy, Florida, USA",27.182902393594986,-80.25316338206392
"Culver’s of Tallahassee, FL","Monroe St, Florida, USA",27.87016,-82.5203875
"Culver’s of Tallahassee, FL","Apalachee Pkwy, Florida, USA",30.427111326938636,-84.23184958115256
"Culver’s of Tamarac, FL","W Commercial Blvd, Florida, USA",26.1882048,-80.16621814999999
"Culver’s of Tampa, FL","N Nebraska Ave, Florida, USA",28.03514714980196,-82.45119339595672
"Culver’s of Tampa, FL","W Hillsborough Ave, Florida, USA",27.996067349999997,-82.46555765
"Culver’s of Brandon, FL","S Falkenburg Rd, Florida, USA",27.891430114261905,-82.35853651706613
"Culver’s of Tampa, FL","Citrus Park Dr, Florida, USA",28.06425487295275,-82.58779573419658
"Culver’s of Carrollwood, FL","Dale Mabry Hwy, Florida, USA",27.893457449920163,-82.50641829363146
"Culver’s within The Villages®, FL","E County Rd 466, Florida, USA",30.5709993,-87.31329539911059
"Culver’s of Titusville, FL","Cheney Hwy, Florida, USA",28.553297899999997,-81.32564454999999
"Culver’s of Venice, FL","Times Cir, Florida, USA",27.10386394796184,-82.3832048148772
"Culver’s of Venice, FL","Tamiami Trail, Florida, USA",25.766384339530987,-80.19462488578849
"Culver’s of Viera, FL","Lake Andrew Dr, Florida, USA",28.265067739977294,-80.73320587904304
"Culver’s of Wesley Chapel, FL","Wiregrass, Florida, USA",28.1895305,-82.3484277
"Culver’s of West Melbourne, FL","Palm Bay Rd, Florida, USA",28.035371988134816,-80.66487874927138
"Culver’s of Wildwood, FL","Sundance Trail, Florida, USA",27.73988115,-80.39006905
"Culver’s of Winter Garden, FL","W Colonial Dr, Florida, USA",28.552957826192735,-81.3952828612181
"Culver’s of Winter Haven, FL","Cypress Gardens Blvd, Florida, USA",27.988628230773223,-81.6884460745927
"Culver’s of Yulee, FL","State Road, Florida, USA",26.6422594,-80.2047546
"Culver’s of Zephyrhills, FL","Gall Blvd, Florida, USA",28.251084807477127,-82.18811506575717
"Culver’s of Acworth, GA","Hwy 92, Georgia, USA",34.08753727354016,-84.48358145233469
"Culver’s of Braselton, GA","Old Winder Hwy, Georgia, USA",34.12605260800729,-83.82976633738842
"Culver’s of Buford, GA","Buford Dr, Georgia, USA",32.59999355,-83.61526850000001
"Culver’s of Hickory Flat-Canton, GA","Hickory Flat Hwy, Georgia, USA",34.22296539700078,-84.48091179396252
"Culver’s of Columbus, GA","Midland Commons Blvd, Georgia, USA",32.54445849187124,-84.87497559932048
"Culver’s of Commerce, GA","Hwy 441, Georgia, USA",33.904894591663066,-83.40454772805766
"Culver’s of Cumming, GA","Bethelview Rd, Georgia, USA",34.18658745997704,-84.19657901652309
"Culver’s of Dawsonville, GA","S 400 Center Ln, Georgia, USA",34.36454519379671,-84.03985937854027
